student_id,age,gender,study_hours,attendance_pct,previous_marks,assignment_score,internal_assessment,midterm_marks,sleep_hours,final_score
STU0001,20,Female,5.0,70.1,52.3,50.9,95.2,42.7,5.3,55.8
STU0002,21,Female,6.3,57.9,88.0,91.3,45.6,36.1,6.5,61.3
STU0003,19,Female,9.5,94.1,83.4,78.8,97.3,76.4,6.6,76.5
STU0004,21,Female,3.3,91.2,81.1,62.9,76.7,53.1,5.0,61.6
STU0005,21,Male,4.2,86.1,70.9,55.5,40.1,72.6,7.0,48.3
STU0006,18,Female,4.4,63.6,53.5,75.6,93.6,44.0,8.0,60.4
STU0007,19,Male,6.4,70.1,63.3,77.1,71.3,63.1,8.3,57.4
STU0008,19,Female,4.2,55.1,83.6,56.4,55.8,65.3,8.5,57.9
STU0009,19,Male,5.8,59.5,41.7,91.8,86.0,70.1,7.0,66.9
STU0010,21,Female,8.0,89.2,83.0,49.6,95.6,65.8,7.5,64.4
STU0011,20,Male,7.3,85.8,53.2,64.6,69.0,64.7,5.3,56.9
STU0012,19,Female,5.0,79.7,47.9,82.4,58.9,55.0,7.0,55.1
STU0013,22,Male,8.8,94.8,46.4,60.1,87.3,39.3,5.6,53.9
STU0014,21,Female,6.0,79.2,41.5,90.5,80.9,40.4,6.5,56.2
STU0015,18,Male,5.9,73.3,68.8,85.7,93.3,61.0,6.3,71.7
STU0016,20,Female,1.3,67.0,52.0,88.4,81.6,56.3,6.7,63.9
STU0017,22,Male,9.9,97.0,94.4,51.6,54.6,66.0,7.3,62.3
STU0018,22,Male,2.1,54.1,71.6,52.7,95.9,53.3,8.6,62.1
STU0019,18,Female,3.1,96.5,47.6,60.8,46.3,76.3,6.6,54.0
STU0020,20,Female,1.5,91.3,77.9,73.5,56.1,86.8,8.9,61.9
STU0021,21,Male,6.8,56.5,89.4,86.1,71.2,52.9,8.0,71.0
STU0022,17,Female,3.0,78.2,81.0,91.0,73.9,46.6,7.0,68.0
STU0023,20,Male,2.6,93.3,44.2,83.7,40.9,42.0,7.6,47.4
STU0024,18,Male,1.8,78.6,89.3,96.1,86.8,72.0,5.4,77.9
STU0025,22,Male,1.9,95.4,83.7,85.6,61.7,61.6,8.4,60.4
STU0026,21,Female,6.3,97.1,48.7,61.8,64.4,46.3,7.3,55.0
STU0027,20,Male,7.2,71.1,42.8,59.6,88.6,74.2,8.9,63.2
STU0028,17,Male,4.6,68.9,70.7,83.3,62.8,43.9,7.5,56.6
STU0029,17,Female,5.3,96.8,48.6,55.6,42.8,68.3,8.3,50.7
STU0030,19,Female,7.2,83.8,85.9,50.1,50.6,66.6,8.2,59.1
STU0031,19,Female,1.2,55.8,59.7,74.3,97.4,79.1,6.4,68.4
STU0032,18,Female,3.9,52.1,90.2,90.2,44.2,38.3,6.0,63.5
STU0033,20,Male,9.8,78.2,71.1,50.6,61.3,88.3,6.7,61.1
STU0034,20,Male,6.2,96.5,50.0,88.6,70.2,77.2,6.9,68.2
STU0035,22,Male,3.3,92.2,47.7,89.6,69.6,48.0,6.0,58.9
STU0036,22,Male,5.7,83.8,71.7,71.5,40.2,46.0,8.6,55.2
STU0037,22,Female,4.1,57.0,81.9,48.2,70.1,60.9,7.2,62.2
STU0038,19,Male,5.8,62.7,83.0,54.6,63.0,84.1,8.9,66.7
STU0039,20,Male,2.1,93.8,55.2,83.9,98.3,85.6,8.2,73.2
STU0040,20,Female,2.2,59.1,51.2,84.1,49.5,66.2,7.2,53.4
STU0041,17,Male,2.3,63.9,40.9,94.4,61.2,86.6,8.8,62.3
STU0042,19,Male,9.5,56.5,77.4,77.0,65.2,35.3,7.0,62.3
STU0043,21,Male,7.6,83.8,44.2,51.8,63.4,37.1,8.5,48.0
STU0044,19,Male,2.5,97.2,63.1,51.7,79.9,89.7,6.4,65.9
STU0045,21,Male,2.7,63.4,73.1,84.7,52.9,81.5,6.5,58.9
STU0046,17,Male,7.6,73.8,91.5,55.1,53.3,62.0,6.7,60.1
STU0047,18,Female,2.4,81.7,57.1,63.1,83.8,80.2,7.2,63.3
STU0048,20,Female,3.1,100.0,53.7,71.8,70.0,92.3,7.2,60.9
STU0049,17,Male,9.7,55.2,76.0,46.4,64.9,81.3,7.0,64.9
STU0050,20,Male,3.3,74.9,74.1,58.7,50.2,85.5,6.2,54.3
STU0051,22,Female,7.0,69.3,58.3,67.4,51.3,80.6,8.7,60.6
STU0052,18,Male,9.8,93.3,91.0,60.4,40.6,45.1,7.4,59.5
STU0053,18,Male,4.4,73.8,86.5,52.5,45.5,85.0,6.6,60.5
STU0054,17,Male,1.2,55.5,52.3,85.0,73.4,46.7,7.6,57.7
STU0055,18,Female,3.2,81.7,53.2,89.7,93.5,88.6,8.1,75.7
STU0056,21,Male,8.5,88.5,68.2,59.2,57.2,62.5,8.8,54.7
STU0057,18,Female,8.8,50.1,82.5,87.6,59.7,75.6,7.0,71.5
STU0058,20,Male,7.9,92.9,42.4,66.2,46.9,64.8,5.4,47.0
STU0059,20,Female,2.0,59.3,78.1,72.9,63.3,40.6,6.8,54.7
STU0060,20,Female,8.2,77.6,75.7,92.1,42.2,52.4,6.9,60.5
STU0061,20,Male,9.3,70.8,52.7,86.2,95.1,94.0,8.6,74.3
STU0062,21,Female,6.4,86.0,77.5,89.3,80.4,92.6,6.6,71.7
STU0063,19,Male,9.5,68.6,91.7,52.5,99.4,54.2,8.8,74.8
STU0064,22,Female,8.4,93.5,42.6,48.8,93.0,94.8,6.9,62.6
STU0065,17,Male,7.0,86.5,57.6,94.1,68.4,85.7,8.9,70.0
STU0066,20,Male,6.2,82.4,64.1,66.3,71.2,71.7,5.0,67.2
STU0067,18,Female,4.1,89.8,89.5,60.8,51.4,37.4,8.6,56.2
STU0068,20,Male,2.4,87.7,92.9,84.9,67.7,89.1,8.7,79.1
STU0069,18,Male,6.4,51.8,64.4,91.0,94.2,68.4,8.8,69.9
STU0070,22,Female,3.9,69.7,81.3,92.4,43.1,87.1,5.1,71.8
STU0071,22,Male,8.8,96.5,69.2,62.4,91.8,85.1,5.7,68.6
STU0072,22,Male,9.9,56.3,69.6,91.9,60.5,85.0,7.6,67.7
STU0073,18,Female,7.8,86.9,55.3,47.3,94.0,76.9,5.1,59.0
STU0074,20,Female,1.8,98.7,51.9,47.7,96.5,52.5,5.3,58.2
STU0075,22,Male,3.6,52.6,55.8,79.3,80.3,55.2,5.9,63.4
STU0076,21,Male,2.0,84.1,70.6,48.5,79.9,53.5,7.0,60.6
STU0077,18,Female,6.9,73.4,41.6,62.9,67.2,36.2,7.2,43.8
STU0078,18,Female,7.9,79.0,89.9,82.0,90.1,70.0,5.1,77.7
STU0079,20,Male,9.3,54.3,48.6,63.5,97.7,76.9,5.7,67.3
STU0080,18,Female,4.9,52.2,52.1,54.9,86.5,86.2,7.0,65.4
STU0081,18,Male,9.1,83.3,68.5,60.5,77.3,43.4,7.4,56.3
STU0082,22,Male,8.9,91.2,79.1,70.2,76.4,67.7,5.6,60.3
STU0083,20,Male,3.9,89.1,45.3,71.1,91.0,35.5,6.6,58.1
STU0084,22,Male,8.8,77.2,57.5,88.1,72.5,40.7,8.6,59.1
STU0085,22,Male,4.4,55.0,93.3,86.3,88.2,38.3,9.0,71.8
STU0086,20,Female,3.7,84.4,54.4,70.1,70.5,78.5,8.9,61.2
STU0087,17,Female,6.8,62.1,57.2,91.5,43.7,39.9,8.5,53.2
STU0088,22,Female,4.0,95.6,86.0,51.3,63.0,78.0,6.6,65.9
STU0089,21,Female,6.7,91.9,42.8,59.0,66.7,50.0,7.7,44.6
STU0090,21,Male,6.5,85.5,65.6,90.5,48.5,87.7,6.7,68.6
STU0091,18,Male,6.1,97.4,60.9,65.8,46.1,83.8,7.6,57.0
STU0092,21,Male,4.4,51.6,57.4,99.0,72.1,92.5,6.2,76.2
STU0093,18,Male,5.9,86.8,55.7,70.6,45.1,88.0,7.4,56.4
STU0094,17,Female,6.4,66.5,45.0,88.6,58.2,91.0,7.1,60.6
STU0095,20,Male,5.9,95.3,57.3,67.1,84.7,86.5,5.1,66.7
STU0096,20,Male,5.0,63.3,42.4,68.4,97.9,76.6,8.2,66.3
STU0097,20,Female,1.1,86.2,83.0,66.1,83.1,45.2,5.0,63.1
STU0098,21,Female,6.3,93.9,61.9,84.5,99.6,51.3,6.2,70.2
STU0099,17,Female,2.5,52.1,64.4,75.1,81.9,47.8,5.0,60.4
STU0100,21,Female,6.8,69.9,89.1,96.9,57.6,71.2,6.5,71.4
STU0101,21,Male,7.8,88.1,76.2,58.8,80.3,65.2,5.3,71.8
STU0102,17,Male,5.5,72.7,40.4,50.5,82.1,87.0,8.7,60.0
STU0103,17,Female,5.9,63.4,91.9,66.6,62.3,92.2,6.7,72.5
STU0104,17,Male,9.6,61.0,53.0,78.9,41.1,59.3,6.8,48.2
STU0105,17,Male,8.6,56.6,45.9,92.3,82.2,65.4,6.4,68.9
STU0106,20,Male,9.2,92.9,82.2,64.0,41.3,93.3,7.5,66.9
STU0107,19,Female,8.3,78.8,67.5,81.0,77.9,51.6,8.1,62.0
STU0108,19,Male,2.0,53.8,63.9,64.3,49.8,82.5,7.6,61.2
STU0109,17,Female,2.3,69.1,53.7,78.9,73.9,48.5,8.0,58.7
STU0110,19,Male,5.7,68.4,70.1,93.7,70.2,75.9,8.6,70.0
STU0111,19,Male,3.2,59.1,55.1,57.7,40.8,50.2,8.5,49.9
STU0112,17,Male,5.3,71.8,89.6,67.2,61.8,88.0,7.7,68.1
STU0113,19,Female,4.5,66.6,51.8,99.6,76.1,68.7,5.9,64.1
STU0114,21,Male,5.9,67.1,88.6,92.8,90.9,46.2,7.6,74.2
STU0115,18,Female,7.7,87.0,70.8,76.1,93.3,48.5,7.0,68.7
STU0116,18,Female,7.4,61.2,85.6,73.4,69.0,64.6,7.9,70.3
STU0117,17,Female,5.7,82.1,79.2,60.7,83.7,92.7,8.3,71.8
STU0118,20,Male,8.4,78.5,78.3,73.4,59.0,81.2,8.0,64.0
STU0119,17,Male,4.9,78.4,57.8,91.6,60.5,64.3,8.4,69.1
STU0120,20,Male,9.1,83.2,52.9,82.7,51.7,55.3,5.3,51.9
STU0121,18,Male,1.6,77.4,51.6,61.0,73.7,68.0,5.1,57.5
STU0122,17,Female,9.6,94.0,87.1,56.1,58.9,79.9,6.0,67.5
STU0123,22,Female,6.9,83.8,85.1,59.6,45.1,82.0,8.6,65.4
STU0124,21,Female,4.4,77.3,64.2,54.3,81.1,54.5,8.3,57.0
STU0125,19,Male,2.8,91.5,47.3,50.3,82.5,78.3,7.7,53.0
STU0126,20,Female,5.3,80.3,61.0,68.1,61.6,74.5,7.8,58.2
STU0127,22,Male,2.8,64.6,74.1,51.2,44.6,92.5,7.9,61.4
STU0128,19,Female,2.5,60.4,65.0,54.5,65.6,90.9,8.8,64.0
STU0129,19,Male,6.6,57.6,82.9,75.1,66.5,82.4,8.3,71.9
STU0130,17,Male,5.7,95.0,94.9,54.1,80.1,78.4,7.5,73.2
STU0131,19,Female,7.0,85.5,50.5,48.5,58.9,51.4,7.7,52.4
STU0132,21,Female,9.4,96.9,65.3,62.5,81.0,85.8,5.9,65.3
STU0133,22,Female,5.8,80.2,63.7,57.1,92.3,60.7,7.6,59.8
STU0134,19,Female,6.2,73.7,56.7,73.3,54.2,51.3,6.7,54.7
STU0135,17,Male,1.8,53.0,50.9,50.6,98.7,58.0,5.6,56.2
STU0136,21,Female,7.5,83.6,43.6,86.3,63.2,85.2,8.2,58.3
STU0137,18,Female,4.6,79.1,88.8,94.8,56.0,43.9,7.0,68.3
STU0138,22,Female,9.8,99.5,63.1,85.9,65.3,62.4,8.9,64.0
STU0139,19,Male,8.4,62.0,67.3,74.3,45.7,64.5,6.1,57.4
STU0140,17,Male,5.7,76.5,90.4,92.3,47.5,37.2,6.9,61.4
STU0141,18,Female,2.1,82.5,82.7,83.2,64.9,46.7,6.8,62.9
STU0142,18,Male,8.7,82.2,47.2,45.6,85.7,84.6,5.5,64.2
STU0143,20,Female,8.2,78.1,71.1,66.7,94.0,84.8,6.7,68.3
STU0144,21,Male,2.7,88.8,64.3,91.8,79.9,52.5,6.2,60.6
STU0145,19,Male,3.7,60.2,83.8,64.0,46.3,87.5,5.6,60.6
STU0146,17,Male,8.1,86.3,79.8,46.9,80.3,81.3,6.1,67.7
STU0147,20,Male,2.7,81.0,78.0,86.0,78.1,60.1,5.9,74.1
STU0148,21,Female,9.3,94.8,58.7,89.1,88.3,79.9,7.9,74.6
STU0149,20,Female,4.8,92.4,84.3,53.8,89.5,92.7,5.1,75.2
STU0150,22,Female,1.8,65.8,42.9,74.6,92.1,62.5,7.5,61.2
STU0151,21,Male,8.3,63.8,48.8,55.6,64.8,49.3,8.0,46.6
STU0152,21,Female,4.4,99.1,58.5,84.6,81.9,91.5,6.9,72.5
STU0153,19,Female,5.7,76.4,44.2,59.9,56.1,71.2,8.7,58.2
STU0154,21,Female,2.0,95.3,52.9,62.4,100.0,41.3,7.8,58.5
STU0155,20,Male,1.0,58.2,85.7,91.5,50.5,69.4,8.0,64.7
STU0156,21,Male,6.7,82.1,92.2,71.2,40.6,65.0,5.8,60.7
STU0157,19,Male,5.6,90.5,56.8,81.8,48.9,86.3,8.1,62.7
STU0158,19,Female,6.3,97.4,54.5,67.1,86.6,66.8,8.3,63.3
STU0159,22,Female,8.1,66.9,55.4,61.4,66.8,50.3,6.4,56.8
STU0160,20,Female,6.8,86.2,55.3,79.4,66.9,75.5,5.9,62.4
STU0161,18,Male,2.6,76.9,42.0,53.5,97.3,67.6,6.5,58.7
STU0162,18,Male,4.2,53.0,91.0,65.5,95.2,49.0,8.0,70.8
STU0163,21,Female,9.2,84.5,51.8,56.5,58.7,69.4,6.7,52.6
STU0164,22,Male,7.9,84.5,63.1,83.3,52.5,84.3,7.9,68.8
STU0165,17,Male,6.0,96.5,40.5,96.9,90.9,36.7,5.5,62.9
STU0166,21,Male,3.3,74.9,87.2,99.8,94.4,72.9,8.2,77.1
STU0167,22,Male,3.7,61.5,80.2,69.8,72.5,56.0,6.0,61.7
STU0168,20,Female,7.6,52.2,92.1,58.9,77.8,52.6,6.0,67.6
STU0169,20,Male,8.7,70.8,83.0,69.4,55.4,58.6,7.4,62.1
STU0170,20,Male,7.0,65.1,57.3,91.6,88.0,55.5,5.3,67.7
STU0171,20,Male,8.3,88.1,53.6,56.3,77.9,84.9,5.1,61.8
STU0172,20,Male,7.9,67.7,78.4,97.4,70.2,51.5,6.0,69.5
STU0173,22,Female,2.3,97.5,60.0,63.8,43.6,79.0,7.2,54.3
STU0174,22,Female,4.8,98.1,71.1,99.2,95.0,40.6,8.6,71.9
STU0175,19,Male,2.4,81.0,40.3,91.1,76.9,92.1,8.4,68.6
STU0176,18,Male,3.1,96.4,43.4,89.5,51.6,72.3,7.0,61.4
STU0177,20,Male,8.8,88.0,69.4,62.5,76.4,77.4,5.1,64.2
STU0178,17,Male,5.3,77.3,71.1,45.5,80.6,52.9,7.1,58.4
STU0179,22,Male,5.8,59.0,81.3,66.0,71.5,59.7,7.8,60.6
STU0180,17,Male,2.6,72.9,47.3,61.6,83.1,48.4,6.4,60.5
STU0181,17,Female,3.8,78.0,68.2,47.1,74.9,91.0,5.4,58.0
STU0182,17,Male,3.1,93.2,50.7,72.8,96.9,64.3,6.1,69.8
STU0183,19,Female,2.9,74.1,45.1,67.2,43.2,72.8,8.1,50.8
STU0184,22,Female,6.7,94.9,62.6,79.9,46.4,79.1,6.4,61.3
STU0185,17,Male,3.3,83.7,49.0,79.2,50.4,57.3,8.2,52.1
STU0186,20,Female,6.7,56.8,52.2,51.6,81.4,78.2,6.3,60.5
STU0187,21,Female,1.5,99.7,57.5,98.7,78.7,75.6,5.7,70.9
STU0188,17,Female,2.3,76.4,54.3,55.3,93.5,77.3,6.7,58.9
STU0189,19,Female,3.5,69.6,44.8,69.5,84.0,64.4,6.8,57.5
STU0190,22,Female,6.4,83.0,44.9,71.8,70.5,58.0,5.1,53.2
STU0191,19,Female,7.1,55.4,50.6,89.7,99.5,48.3,5.5,67.5
STU0192,17,Male,5.0,81.8,42.8,50.5,56.0,84.5,5.7,52.5
STU0193,22,Female,5.0,74.9,74.5,68.6,90.0,71.5,5.5,71.7
STU0194,21,Female,7.5,70.3,55.8,79.6,65.6,61.7,6.4,60.2
STU0195,17,Female,1.1,97.7,55.4,56.8,78.9,91.6,8.9,66.6
STU0196,19,Male,4.1,76.1,58.3,79.5,83.6,37.9,7.0,57.3
STU0197,18,Female,8.4,61.0,76.5,95.8,78.0,86.0,7.5,76.4
STU0198,20,Male,6.4,72.9,87.9,99.9,48.4,94.9,6.4,77.3
